video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ChBiWfpAiY0&pp=ygUJdXcgY2FtcHVz,/@KING5Seattle,KING 5 Seattle,Suspect in case involving woman's remains found near UW campus charged,7.7K,1 year,"On Tuesday, Seattle police arrested a 32-year-old man after they connected him to DNA evidence found at the scene.",2024-03-14 12:19:59.416192
/watch?v=xSoTj_ey5FM&pp=ygUJdXcgY2FtcHVz,/@uwstoutvideos,University of Wisconsin-Stout,UW-Stout Move-In Day 2019,2.4K,4 years,"Around 2200 students moved into their dorms on campus today, and campus is thriving again with the energy of its students.",2024-03-14 12:19:59.417438
/watch?v=fIt5qCKE_ao&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Commencement 2022,3.9K,1 year,"Some 7000 University of Washington graduates of the Class of 2022 marched into Husky Stadium Saturday afternoon, the most ...",2024-03-14 12:19:59.418797
/watch?v=MHIB1xj9Rb8&pp=ygUJdXcgY2FtcHVz,/@UWGBofficial,University of Wisconsin-Green Bay,UW-Green Bay's Four Beautiful Campuses,1.5K,5 years,"Scenes from UW-Green Bay's Marinette, Manitowoc, Sheboygan and Green Bay campuses.",2024-03-14 12:19:59.420083
/watch?v=3HpHYzEb844&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW Architecture’s bench project turns an idea into an experience,2.1K,9 months,"Build a bench, create a social opportunity - this was the essential mission of a project at the University of Washington this spring ...",2024-03-14 12:19:59.421480
/watch?v=wk8X2giqWM0&pp=ygUJdXcgY2FtcHVz,/@KiaraMadisen,Kiara Madisen,"Life as a UW Student in Seattle, WA | ft. Kam Schalk",69K,2 years,Finally got to live out my dream of exploring life as a student at my rival university! Kam and I reunite for the best 24 hour trip full of ...,2024-03-14 12:19:59.422835
/watch?v=4Cjbp4EOLAo&pp=ygUJdXcgY2FtcHVz,/@UWHFS,UWHFS,UW HFS | Living on Campus,1.4K,1 year,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2024-03-14 12:19:59.424068
/watch?v=dJreIS22aGM&pp=ygUJdXcgY2FtcHVz,/@tripalink.official,Tripalink,Tips on Finding an Apartment Near UW Campus,176,1 year,"#HomeIsTripalink #tripalink The University of Washington, one of the oldest universities on the west coast, is in the center of ...",2024-03-14 12:19:59.425274
/watch?v=bsPtcHoIy_M&pp=ygUJdXcgY2FtcHVz,/@uwaterlooengineeringorient2311,uWaterloo Engineering Orientation Week Media,UW Minecraft Campus Teaser,2.1K,3 years,Only a couple more days until Orientation 2020! Here's a sneak peek at the UW campus recreated in Minecraft. --- To get more ...,2024-03-14 12:19:59.426581
/watch?v=AqpaWnjU9bQ&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW prepares for a return to campus in fall 2021,2K,2 years,With Autumn quarter set to begin at the end of this month and many UW staff beginning the return to on-campus work on Sept.,2024-03-14 12:19:59.427965
/watch?v=ht8ObQN751Y&pp=ygUJdXcgY2FtcHVz,/@brianbae4020,Brian Bae,Day In My Life at The University of Washington,131K,5 years,This is what happens in a typical day in my life at UW! Welcome to my Channel! I'm Brian and I'm a sophomore at the University of ...,2024-03-14 12:19:59.431014
/watch?v=yaTHRtpWtxs&pp=ygUJdXcgY2FtcHVz,/@ryankw0n,Ryan Kwon,A Day in the Life of a University of Wisconsin-Madison Student,29K,1 year,"Follow me as I demonstrate a pretty typical day in the life of a college student enrolled at UW-Madison! As you'll hear, I was ...",2024-03-14 12:19:59.432305
/watch?v=7SrraT7Ir3w&pp=ygUJdXcgY2FtcHVz,/@KING5Seattle,KING 5 Seattle,Record-setting freshman class moves in at UW campus,4.3K,1 year,A packed car and a hopeful freshman may be the latest metric that the world is getting back to normal. The University of ...,2024-03-14 12:19:59.433614
/watch?v=4KXCXNtfqoo&pp=ygUJdXcgY2FtcHVz,/@uwmadison,uwmadison,Winter is coming to UW–Madison... the first snowfall,3.6K,1 year,It's the first snowfall on campus of the 2022-2023 school year on the UW—Madison campus.,2024-03-14 12:20:11.014663
/watch?v=7PrNkKM8rs4&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),New Esports Arena opens at UW,5.7K,4 years,The UW celebrated the opening of an esports center with a ribbon cutting ceremony April 18. The facility features top-of-the-line ...,2024-03-14 12:20:11.019782
/watch?v=TDo5yz0zMF0&pp=ygUJdXcgY2FtcHVz,/@uw-milwaukee,UW-Milwaukee,UW-Milwaukee: An International Campus Community,1K,3 years,UW-Milwaukee's welcoming community makes international students feel at home as soon as they set foot on campus. Begin your ...,2024-03-14 12:20:11.022880
/watch?v=2Enr83__pvU&pp=ygUJdXcgY2FtcHVz,/@kennakwok.,Kenna Kwok,ALL ABOUT UW - WHAT I WISH I KNEW BEFORE,17K,2 years,I wanted to share a video covering all aspects of the University of Washington and things I wish I knew before freshman year!,2024-03-14 12:20:11.026525
/watch?v=Keuvx55QY-s&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW's Indigenous Walking Tour,3.5K,2 years,"The Burke Museum has always been a second home to Owen Oliver (Quinault Indian Nation and Isleta Pueblo), a recent ...",2024-03-14 12:20:11.029319
/watch?v=EvYCj_piHA0&pp=ygUJdXcgY2FtcHVz,/@Channel3000,Channel 3000 / News 3 Now,Ten-story apartment building planned for Regent Street near UW campus,202,1 year,"A new 10-story, 534-bed apartment building is planned for the 800 block of Regent Street just off the University of ...",2024-03-14 12:20:11.032012
/watch?v=nM1jY6lHP3Q&pp=ygUJdXcgY2FtcHVz,/@universityofwashington,UW (University of Washington),UW News 2022 video highlights,2.5K,1 year,This year the University of Washington campus once again was bustling after a quieter couple of years due to the COVID-19 ...,2024-03-14 12:20:11.035135
/watch?v=y89caahPjok&pp=ygUJdXcgY2FtcHVz,/@UDubAdmissions,UW Admissions,Winter Break on the UW Campus,2.1K,11 years,A portrait of the University of Washington on Christmas Eve: a few students are so dedicated they are working through the break.,2024-03-14 12:20:11.037845
/watch?v=A299qy6FBj4&pp=ygUJdXcgY2FtcHVz,/@fox13seattle,FOX 13 Seattle,"UW, Seattle U students back on campus",991,2 years,Students at the University of Washington and Seattle University will return to campus on Monday. Subscribe to FOX 13 Seattle: ...,2024-03-14 12:20:11.040861
/watch?v=pyZX9jovoFY&pp=ygUJdXcgY2FtcHVz,/@uwwhitewater,University of Wisconsin-Whitewater,International Students at UW-Whitewater,1.8K,4 years,"The University of Wisconsin-Whitewater offers more than 75 academic programs on a safe, friendly college campus in the ...",2024-03-14 12:20:11.045924
/watch?v=WeLvArnIl0E&pp=ygUJdXcgY2FtcHVz,/@UWVideo,UW Video,UW History and Tradition,1.2K,8 years,Learn about the rich history and tradition of the University of Washington.,2024-03-14 12:20:11.048663
/watch?v=VBr7cyCETnM&pp=ygUJdXcgY2FtcHVz,/@uwlacrossevids,University of Wisconsin-La Crosse,Residence Hall Quick Tour,8.2K,2 years,First-year students Julia and Alivia take us around campus to get a glimpse at what the inside of UWL's Residence Halls look like.,2024-03-14 12:20:11.051428
/watch?v=9KPg0gpv4-A&pp=ygUJdXcgY2FtcHVz,/@CampusMania,CampusMania,"University of Wisconsin, Milwaukee | UW–Milwaukee | 4K Campus Walking Tour",2K,4 months,"A 4K walking tour of UW Milwaukee campus! The University of Wisconsin–Milwaukee (UW–Milwaukee, UWM, or Milwaukee) is a ...",2024-03-14 12:20:11.054405
/watch?v=pD1gRxYW6lM&pp=ygUJdXcgY2FtcHVz,/@uwlacrossevids,University of Wisconsin-La Crosse,UWL Campus Aerial Tour,21K,4 years,"Take a tour of the University of Wisconsin-La Crosse from the air. Captured in the fall of 2018. For more information on UWL, visit ...",2024-03-14 12:20:11.057213
/watch?v=0gMw5ejWN5U&pp=ygUJdXcgY2FtcHVz,/@uwlibraries,University of Washington Libraries,UW Campus Navigator - UW GIS Day 2014 Lightning Talks,86,9 years,"UW Campus Navigator – Indoor/Outdoor Navigation Presenter: Aaron Cheuvront, UW Capital Projects Office The 4th Annual ...",2024-03-14 12:20:11.061257
/watch?v=l5gyReHsQNk&pp=ygUJdXcgY2FtcHVz,/@PNW4K,PNW 4K,"Exploring Around the UW University of Washington Medical Center | Seattle, WA",502,5 months,"Join me as I take you on a bike tour around the UW Medical Center in Seattle, one of the most prestigious and innovative health ...",2024-03-14 12:20:11.064150
/watch?v=QjwTgGfi3dA&pp=ygUJdXcgY2FtcHVz,/@universityofwyoming,University of Wyoming,UW Campus Tour || Marian H. Rochelle Gateway Center,5.7K,8 years,Take a tour of the new Marian H. Rochelle Gateway Center with UW Student Annie!,2024-03-14 12:20:11.067845
